full_size_dir,unity_resize_dir,width,height,cosine_similarity
D:\vae_test_set\1920x1080\images\18441.jpg,D:\vae_test_set\1920x1080\64x64\18441.jpg,1920,1080,0.9997209550347042
D:\vae_test_set\1920x1080\images\26803.jpg,D:\vae_test_set\1920x1080\64x64\26803.jpg,1920,1080,0.9997043526528646
D:\vae_test_set\1920x1080\images\24197.jpg,D:\vae_test_set\1920x1080\64x64\24197.jpg,1920,1080,0.999752168282435
D:\vae_test_set\1920x1080\images\18252.jpg,D:\vae_test_set\1920x1080\64x64\18252.jpg,1920,1080,0.999755737209407
D:\vae_test_set\1920x1080\images\12399.jpg,D:\vae_test_set\1920x1080\64x64\12399.jpg,1920,1080,0.999740835138017
D:\vae_test_set\1920x1080\images\9517.jpg,D:\vae_test_set\1920x1080\64x64\9517.jpg,1920,1080,0.9997848964555639
D:\vae_test_set\1920x1080\images\1188.jpg,D:\vae_test_set\1920x1080\64x64\1188.jpg,1920,1080,0.9998469382488308
D:\vae_test_set\1920x1080\images\13921.jpg,D:\vae_test_set\1920x1080\64x64\13921.jpg,1920,1080,0.9997647971837444
D:\vae_test_set\1920x1080\images\1063.jpg,D:\vae_test_set\1920x1080\64x64\1063.jpg,1920,1080,0.9997603344337513
D:\vae_test_set\1920x1080\images\14901.jpg,D:\vae_test_set\1920x1080\64x64\14901.jpg,1920,1080,0.9996018374305068
D:\vae_test_set\1920x1080\images\1141.jpg,D:\vae_test_set\1920x1080\64x64\1141.jpg,1920,1080,0.999794368524921
D:\vae_test_set\1920x1080\images\4062.jpg,D:\vae_test_set\1920x1080\64x64\4062.jpg,1920,1080,0.9997081221434946
D:\vae_test_set\1920x1080\images\7639.jpg,D:\vae_test_set\1920x1080\64x64\7639.jpg,1920,1080,0.9997910961260722
D:\vae_test_set\1920x1080\images\23275.jpg,D:\vae_test_set\1920x1080\64x64\23275.jpg,1920,1080,0.9997595419889546
D:\vae_test_set\1920x1080\images\2478.jpg,D:\vae_test_set\1920x1080\64x64\2478.jpg,1920,1080,0.9996785070627079
D:\vae_test_set\1920x1080\images\29877.jpg,D:\vae_test_set\1920x1080\64x64\29877.jpg,1920,1080,0.9998126554926786
D:\vae_test_set\1920x1080\images\29376.jpg,D:\vae_test_set\1920x1080\64x64\29376.jpg,1920,1080,0.9997723828370335
D:\vae_test_set\1920x1080\images\5376.jpg,D:\vae_test_set\1920x1080\64x64\5376.jpg,1920,1080,0.9997609201586535
D:\vae_test_set\1920x1080\images\6335.jpg,D:\vae_test_set\1920x1080\64x64\6335.jpg,1920,1080,0.9998068159135869
D:\vae_test_set\1920x1080\images\24221.jpg,D:\vae_test_set\1920x1080\64x64\24221.jpg,1920,1080,0.9997104528320472
D:\vae_test_set\1920x1080\images\14847.jpg,D:\vae_test_set\1920x1080\64x64\14847.jpg,1920,1080,0.999724052268967
D:\vae_test_set\1920x1080\images\14996.jpg,D:\vae_test_set\1920x1080\64x64\14996.jpg,1920,1080,0.9997949083576341
D:\vae_test_set\1920x1080\images\22685.jpg,D:\vae_test_set\1920x1080\64x64\22685.jpg,1920,1080,0.9997703271754241
D:\vae_test_set\1920x1080\images\23489.jpg,D:\vae_test_set\1920x1080\64x64\23489.jpg,1920,1080,0.999786066648105
D:\vae_test_set\1920x1080\images\24692.jpg,D:\vae_test_set\1920x1080\64x64\24692.jpg,1920,1080,0.9997024397548815
D:\vae_test_set\1920x1080\images\19972.jpg,D:\vae_test_set\1920x1080\64x64\19972.jpg,1920,1080,0.9996866097060823
D:\vae_test_set\1920x1080\images\19340.jpg,D:\vae_test_set\1920x1080\64x64\19340.jpg,1920,1080,0.9997991792527846
D:\vae_test_set\1920x1080\images\22842.jpg,D:\vae_test_set\1920x1080\64x64\22842.jpg,1920,1080,0.9997693189657675
D:\vae_test_set\1920x1080\images\26781.jpg,D:\vae_test_set\1920x1080\64x64\26781.jpg,1920,1080,0.9996339610703098
D:\vae_test_set\1920x1080\images\24824.jpg,D:\vae_test_set\1920x1080\64x64\24824.jpg,1920,1080,0.9997166238009121
D:\vae_test_set\1920x1080\images\4318.jpg,D:\vae_test_set\1920x1080\64x64\4318.jpg,1920,1080,0.9997385531564859
D:\vae_test_set\1920x1080\images\18948.jpg,D:\vae_test_set\1920x1080\64x64\18948.jpg,1920,1080,0.9997501540457439
D:\vae_test_set\1920x1080\images\28391.jpg,D:\vae_test_set\1920x1080\64x64\28391.jpg,1920,1080,0.9997216835868432
D:\vae_test_set\1920x1080\images\23516.jpg,D:\vae_test_set\1920x1080\64x64\23516.jpg,1920,1080,0.9997421340809828
D:\vae_test_set\1920x1080\images\24039.jpg,D:\vae_test_set\1920x1080\64x64\24039.jpg,1920,1080,0.9998011646317111
D:\vae_test_set\1920x1080\images\5695.jpg,D:\vae_test_set\1920x1080\64x64\5695.jpg,1920,1080,0.9998107943546254
D:\vae_test_set\1920x1080\images\12689.jpg,D:\vae_test_set\1920x1080\64x64\12689.jpg,1920,1080,0.9996329255588872
D:\vae_test_set\1920x1080\images\12251.jpg,D:\vae_test_set\1920x1080\64x64\12251.jpg,1920,1080,0.9998151405582645
D:\vae_test_set\1920x1080\images\1840.jpg,D:\vae_test_set\1920x1080\64x64\1840.jpg,1920,1080,0.9997914946180151
D:\vae_test_set\1920x1080\images\10348.jpg,D:\vae_test_set\1920x1080\64x64\10348.jpg,1920,1080,0.9997614544251604
D:\vae_test_set\1920x1080\images\14261.jpg,D:\vae_test_set\1920x1080\64x64\14261.jpg,1920,1080,0.9998178116653017
D:\vae_test_set\1920x1080\images\9601.jpg,D:\vae_test_set\1920x1080\64x64\9601.jpg,1920,1080,0.9997371956329997
D:\vae_test_set\1920x1080\images\29365.jpg,D:\vae_test_set\1920x1080\64x64\29365.jpg,1920,1080,0.999761510430733
D:\vae_test_set\1920x1080\images\22859.jpg,D:\vae_test_set\1920x1080\64x64\22859.jpg,1920,1080,0.9997572065601573
D:\vae_test_set\1920x1080\images\18021.jpg,D:\vae_test_set\1920x1080\64x64\18021.jpg,1920,1080,0.9998014131356963
D:\vae_test_set\1920x1080\images\29335.jpg,D:\vae_test_set\1920x1080\64x64\29335.jpg,1920,1080,0.9997362447549137
D:\vae_test_set\1920x1080\images\21690.jpg,D:\vae_test_set\1920x1080\64x64\21690.jpg,1920,1080,0.9997355178263426
D:\vae_test_set\1920x1080\images\15096.jpg,D:\vae_test_set\1920x1080\64x64\15096.jpg,1920,1080,0.9995397810101709
D:\vae_test_set\1920x1080\images\6250.jpg,D:\vae_test_set\1920x1080\64x64\6250.jpg,1920,1080,0.9997624723615249
D:\vae_test_set\1920x1080\images\16647.jpg,D:\vae_test_set\1920x1080\64x64\16647.jpg,1920,1080,0.9997644075285509
D:\vae_test_set\1920x1080\images\16343.jpg,D:\vae_test_set\1920x1080\64x64\16343.jpg,1920,1080,0.9995970453922823
D:\vae_test_set\1920x1080\images\17794.jpg,D:\vae_test_set\1920x1080\64x64\17794.jpg,1920,1080,0.9997783858698382
D:\vae_test_set\1920x1080\images\24191.jpg,D:\vae_test_set\1920x1080\64x64\24191.jpg,1920,1080,0.9997055605840144
D:\vae_test_set\1920x1080\images\13157.jpg,D:\vae_test_set\1920x1080\64x64\13157.jpg,1920,1080,0.9997862695443376
D:\vae_test_set\1920x1080\images\4992.jpg,D:\vae_test_set\1920x1080\64x64\4992.jpg,1920,1080,0.9997995141651141
D:\vae_test_set\1920x1080\images\7664.jpg,D:\vae_test_set\1920x1080\64x64\7664.jpg,1920,1080,0.9997187062431021
D:\vae_test_set\1920x1080\images\11078.jpg,D:\vae_test_set\1920x1080\64x64\11078.jpg,1920,1080,0.9997885949058021
D:\vae_test_set\1920x1080\images\2489.jpg,D:\vae_test_set\1920x1080\64x64\2489.jpg,1920,1080,0.9996647661247916
